,gameplayId,stunt,possessionTeam,defensiveTeam,blitz
0,2021090900_1078,0,DAL,TB,0.0
1,2021090900_1203,1,TB,DAL,0.0
2,2021090900_137,0,DAL,TB,1.0
3,2021090900_1563,1,DAL,TB,1.0
4,2021090900_1587,1,DAL,TB,1.0
5,2021090900_1687,1,DAL,TB,1.0
6,2021090900_1726,1,DAL,TB,1.0
7,2021090900_1776,1,DAL,TB,1.0
8,2021090900_187,0,DAL,TB,0.0
9,2021090900_1918,1,DAL,TB,1.0
10,2021090900_1940,1,DAL,TB,0.0
11,2021090900_2008,1,TB,DAL,0.0
12,2021090900_2032,1,TB,DAL,0.0
13,2021090900_2088,0,DAL,TB,0.0
14,2021090900_2169,0,DAL,TB,0.0
15,2021090900_2211,1,DAL,TB,0.0
16,2021090900_2233,1,DAL,TB,0.0
17,2021090900_2257,1,DAL,TB,0.0
18,2021090900_2279,1,DAL,TB,0.0
19,2021090900_2330,0,DAL,TB,0.0
20,2021090900_2397,0,TB,DAL,0.0
21,2021090900_2419,0,TB,DAL,0.0
22,2021090900_2441,0,TB,DAL,0.0
23,2021090900_2530,0,DAL,TB,0.0
24,2021090900_2554,0,DAL,TB,1.0
25,2021090900_2632,1,DAL,TB,1.0
26,2021090900_2656,1,DAL,TB,1.0
27,2021090900_2735,1,DAL,TB,1.0
28,2021090900_2871,1,TB,DAL,0.0
29,2021090900_2893,1,TB,DAL,1.0
30,2021090900_3062,1,TB,DAL,0.0
31,2021090900_3110,0,TB,DAL,0.0
32,2021090900_3134,1,TB,DAL,1.0
33,2021090900_3216,0,DAL,TB,0.0
34,2021090900_3261,1,DAL,TB,1.0
35,2021090900_3306,1,DAL,TB,0.0
36,2021090900_3364,1,DAL,TB,0.0
37,2021090900_3406,1,DAL,TB,1.0
38,2021090900_3462,1,TB,DAL,1.0
39,2021090900_349,0,DAL,TB,1.0
40,2021090900_3588,0,TB,DAL,0.0
41,2021090900_3633,1,TB,DAL,0.0
42,2021090900_3655,1,TB,DAL,1.0
43,2021090900_3724,1,DAL,TB,1.0
44,2021090900_3746,0,DAL,TB,0.0
45,2021090900_3793,0,TB,DAL,0.0
46,2021090900_3862,1,TB,DAL,0.0
47,2021090900_3909,1,TB,DAL,0.0
