"","...1","gameId","playId","nflId","time","relative_location","relative_location_list","stunt","all_front","all_back"
"1",70,"2021090900","97",41263,2021-09-10 00:26:33,1,"[1.0, 5.0, 4.0, 2.0, 3.0]",1,"4","3"
"2",85,"2021090900","97",41263,2021-09-10 00:26:33,2,"[2.0, 5.0, 4.0, 1.0, 3.0]",1,"1","2"
"3",105,"2021090900","97",41263,2021-09-10 00:26:33,3,"[3.0, 5.0, 4.0, 1.0, 2.0]",1,"3","2"
"4",431,"2021090900","282",34777,2021-09-10 00:31:54,1,"[1.0, 2.0, 4.0, 3.0, 5.0]",1,"3","2"
"5",446,"2021090900","282",34777,2021-09-10 00:31:54,1,"[1.0, 3.0, 4.0, 2.0, 5.0]",1,"2","3"
"6",661,"2021090900","410",41263,2021-09-10 00:38:25,1,"[1.0, 4.0, 3.0, 5.0, 2.0]",1,"3","2"
"7",686,"2021090900","410",41263,2021-09-10 00:38:22,1,"[1.0, 4.0, 2.0, 5.0, 3.0]",1,"2","3"
"8",741,"2021090900","434",41263,2021-09-10 00:38:53,1,"[1.0, 5.0, 2.0, 3.0, 4.0]",1,"4","3"
"9",791,"2021090900","434",41263,2021-09-10 00:38:54,2,"[2.0, 5.0, 1.0, 3.0, 4.0]",1,"2","1"
"10",811,"2021090900","434",41263,2021-09-10 00:38:51,1,"[1.0, 5.0, 2.0, 4.0, 3.0]",2,"c(""2"", ""3"")","c(""1"", ""4"")"
"11",988,"2021090900","480",41363,2021-09-10 00:40:04,2,"[2.0, 1.0, 3.0, 4.0]",1,"3","4"
"12",996,"2021090900","480",41363,2021-09-10 00:40:04,1,"[1.0, 2.0, 3.0, 4.0]",1,"2","1"
"13",1172,"2021090900","559",41263,2021-09-10 00:42:08,2,"[2.0, 4.0, 1.0, 3.0]",1,"1","2"
"14",1366,"2021090900","687",35441,2021-09-10 00:48:34,2,"[2.0, 1.0, 3.0, 5.0, 4.0]",1,"2","3"
"15",1847,"2021090900","869",41363,2021-09-10 00:57:55,2,"[2.0, 1.0, 3.0, 5.0, 4.0]",1,"3","4"
"16",1959,"2021090900","925",41363,2021-09-10 00:59:22,1,"[1.0, 2.0, 4.0, 3.0]",1,"2","1"
"17",2035,"2021090900","947",41263,2021-09-10 01:00:05,2,"[2.0, 4.0, 1.0, 3.0]",1,"2","1"
