"","...1","gameplayId","nflId","time","team","pff_positionLinedUp","zone","relative_location","stunt","all_front","all_back"
"1",70,"2021090900_97",41263,2021-09-10 00:26:33,"DAL","LEO",13,"(1, 1)",1,"4","3"
"2",85,"2021090900_97",41263,2021-09-10 00:26:33,"DAL","LEO",11,"(2, 1)",1,"1","2"
"3",105,"2021090900_97",41263,2021-09-10 00:26:33,"DAL","LEO",8,"(3, 1)",1,"3","2"
"4",431,"2021090900_282",34777,2021-09-10 00:31:54,"TB","DRT",3,"(1, 1)",1,"3","2"
"5",446,"2021090900_282",34777,2021-09-10 00:31:54,"TB","DRT",3,"(1, 1)",1,"2","3"
"6",661,"2021090900_410",41263,2021-09-10 00:38:25,"DAL","LEO",14,"(1, 1)",1,"3","2"
"7",686,"2021090900_410",41263,2021-09-10 00:38:22,"DAL","LEO",14,"(1, 1)",1,"2","3"
"8",741,"2021090900_434",41263,2021-09-10 00:38:53,"DAL","LOLB",14,"(1, 1)",1,"4","3"
"9",791,"2021090900_434",41263,2021-09-10 00:38:54,"DAL","LOLB",14,"(2, 1)",1,"2","1"
"10",811,"2021090900_434",41263,2021-09-10 00:38:51,"DAL","LOLB",14,"(1, 1)",2,"c(""2"", ""3"")","c(""1"", ""4"")"
"11",988,"2021090900_480",41363,2021-09-10 00:40:04,"DAL","LE",12,"(2, 1)",1,"3","4"
"12",996,"2021090900_480",41363,2021-09-10 00:40:04,"DAL","LE",12,"(1, 1)",1,"2","1"
"13",1172,"2021090900_559",41263,2021-09-10 00:42:08,"DAL","LEO",14,"(2, 1)",1,"1","2"
"14",1366,"2021090900_687",35441,2021-09-10 00:48:34,"TB","DRT",4,"(2, 1)",1,"2","3"
"15",1847,"2021090900_869",41363,2021-09-10 00:57:55,"DAL","DLT",11,"(2, 1)",1,"3","4"
"16",1959,"2021090900_925",41363,2021-09-10 00:59:22,"DAL","DLT",14,"(1, 1)",1,"2","1"
"17",2035,"2021090900_947",41263,2021-09-10 01:00:05,"DAL","LEO",12,"(2, 1)",1,"2","1"
"18",2039,"2021090900_947",41263,2021-09-10 01:00:05,"DAL","LEO",12,"(2, 1)",1,"4","3"
"19",2209,"2021090900_1203",42403,2021-09-10 01:12:00,"DAL","RE",6,"(1, 1)",1,"3","2"
"20",2224,"2021090900_1203",42403,2021-09-10 01:12:01,"DAL","RE",6,"(2, 1)",1,"2","1"
"21",2666,"2021090900_1392",35441,2021-09-10 01:21:19,"TB","LE",14,"(3, 1)",1,"3","3"
"22",2909,"2021090900_1563",35441,2021-09-10 01:28:37,"TB","LE",13,"(2, 3)",1,"4","3"
"23",2939,"2021090900_1563",35441,2021-09-10 01:28:38,"TB","LE",14,"(1, 3)",1,"1","2"
"24",2994,"2021090900_1563",35441,2021-09-10 01:28:39,"TB","LE",14,"(1, 3)",1,"2","3"
"25",3091,"2021090900_1587",35441,2021-09-10 01:29:19,"TB","DLT",10,"(3, 1)",1,"3","2"
"26",3139,"2021090900_1587",35441,2021-09-10 01:29:20,"TB","DLT",11,"(3, 1)",1,"2","1"
"27",3157,"2021090900_1587",35441,2021-09-10 01:29:20,"TB","DLT",11,"(2, 1)",1,"3","2"
"28",3263,"2021090900_1687",40074,2021-09-10 01:34:45,"TB","DRT",1,"(3, 1)",1,"4","5"
"29",3421,"2021090900_1726",35441,2021-09-10 01:36:24,"TB","REO",4,"(5, 1)",1,"2","1"
"30",3476,"2021090900_1776",35441,2021-09-10 01:37:45,"TB","DRT",3,"(5, 1)",1,"4","4"
"31",3546,"2021090900_1776",35441,2021-09-10 01:37:46,"TB","DRT",4,"(5, 1)",1,"6","7"
"32",3553,"2021090900_1776",35441,2021-09-10 01:37:46,"TB","DRT",4,"(5, 1)",1,"2","1"
"33",3675,"2021090900_1918",34777,2021-09-10 01:43:32,"TB","LE",14,"(2, 3)",1,"2","3"
"34",3695,"2021090900_1918",34777,2021-09-10 01:43:32,"TB","LE",14,"(2, 3)",1,"3","4"
"35",3755,"2021090900_1940",35441,2021-09-10 01:44:14,"TB","DRT",2,"(4, 1)",1,"4","3"
"36",3775,"2021090900_1940",35441,2021-09-10 01:44:14,"TB","DRT",1,"(4, 1)",1,"3","2"
"37",3875,"2021090900_2008",41263,2021-09-10 01:47:19,"DAL","LEO",14,"(3, 1)",1,"4","3"
"38",3983,"2021090900_2032",41263,2021-09-10 01:47:42,"DAL","LEO",14,"(3, 1)",1,"3","4"
"39",4175,"2021090900_2129",35441,2021-09-10 01:54:06,"TB","LE",14,"(1, 1)",1,"1","2"
"40",4355,"2021090900_2211",35441,2021-09-10 01:56:54,"TB","LEO",10,"(3, 1)",1,"2","3"
"41",4455,"2021090900_2233",35441,2021-09-10 01:57:36,"TB","LE",9,"(3, 1)",1,"2","3"
"42",4551,"2021090900_2257",35441,2021-09-10 01:58:03,"TB","LE",14,"(1, 1)",1,"1","2"
"43",4663,"2021090900_2279",35441,2021-09-10 01:58:50,"TB","LEO",14,"(2, 1)",1,"2","2"
"44",5355,"2021090900_2632",35441,2021-09-10 02:25:56,"TB","LEO",13,"(3, 1)",1,"2","3"
"45",5380,"2021090900_2632",35441,2021-09-10 02:25:56,"TB","LEO",10,"(3, 1)",1,"2","1"
"46",5390,"2021090900_2632",35441,2021-09-10 02:25:56,"TB","LEO",9,"(4, 1)",1,"3","4"
"47",5460,"2021090900_2656",34777,2021-09-10 02:26:25,"TB","DLT",14,"(2, 1)",1,"2","3"
"48",5490,"2021090900_2656",34777,2021-09-10 02:26:26,"TB","DLT",14,"(2, 1)",1,"3","4"
"49",5500,"2021090900_2656",34777,2021-09-10 02:26:26,"TB","DLT",14,"(3, 1)",1,"3","2"
"50",5510,"2021090900_2656",34777,2021-09-10 02:26:26,"TB","DLT",14,"(4, 1)",1,"2","4"
"51",5600,"2021090900_2678",34777,2021-09-10 02:27:06,"TB","DRT",4,"(4, 1)",1,"2","1"
"52",5620,"2021090900_2678",34777,2021-09-10 02:27:07,"TB","DRT",3,"(5, 1)",1,"4","5"
"53",5735,"2021090900_2735",34777,2021-09-10 02:28:41,"TB","LE",14,"(1, 3)",1,"4","5"
"54",5810,"2021090900_2780",34777,2021-09-10 02:29:49,"TB","DRT",1,"(5, 1)",1,"1","2"
"55",5935,"2021090900_2871",41363,2021-09-10 02:35:06,"DAL","DRT",8,"(3, 1)",1,"2","3"
"56",6041,"2021090900_2893",41363,2021-09-10 02:35:45,"DAL","DRT",1,"(2, 1)",1,"4","3"
"57",6171,"2021090900_2915",41263,2021-09-10 02:36:26,"DAL","LOLB",12,"(3, 1)",1,"3","4"
"58",6371,"2021090900_3062",41263,2021-09-10 02:43:13,"DAL","LOLB",14,"(4, 1)",1,"2","1"
"59",6383,"2021090900_3062",41263,2021-09-10 02:43:14,"DAL","LOLB",14,"(3, 1)",1,"3","4"
"60",6631,"2021090900_3134",42403,2021-09-10 02:45:17,"DAL","RE",4,"(3, 1)",1,"5","6"
"61",6769,"2021090900_3261",34777,2021-09-10 02:51:20,"TB","DRT",4,"(3, 1)",1,"3","4"
"62",6804,"2021090900_3261",34777,2021-09-10 02:51:21,"TB","DRT",6,"(3, 1)",1,"4","5"
"63",6834,"2021090900_3261",34777,2021-09-10 02:51:21,"TB","DRT",8,"(4, 1)",1,"4","3"
"64",6907,"2021090900_3306",35441,2021-09-10 02:52:43,"TB","DRT",5,"(3, 1)",1,"3","2"
"65",7025,"2021090900_3330",35441,2021-09-10 02:53:27,"TB","DLT",8,"(1, 1)",1,"2","1"
"66",7045,"2021090900_3330",35441,2021-09-10 02:53:27,"TB","DLT",8,"(1, 1)",1,"3","2"
"67",7155,"2021090900_3364",35441,2021-09-10 02:54:07,"TB","LE",10,"(3, 1)",1,"3","2"
